,Year_0,row_id,train3_0
1562,2022,2022_1284,training on how to use the sofware we develop
1565,2022,2022_1287,carpentries
1566,2022,2022_1287,nvidia
1567,2022,2022_1288,master in hydrology
1569,2022,2022_1288,both uni freiburg
1573,2022,2022_1292,local university
1577,2022,2022_1296,local university
1579,2022,2022_1298,teaching r tidyverse
1589,2022,2022_1308,informal
1592,2022,2022_1311,turing rse
1593,2022,2022_1311,rds courses
1594,2022,2022_1312,konferenzworkshops
1595,2022,2022_1312,summerschools
1596,2022,2022_1312,hochschullehre
1597,2022,2022_1312,onlinkurse
1600,2022,2022_1315,lehrgang an universitäten
1602,2022,2022_1317,local center/university training
1603,2022,2022_1317,"cyberambassadors,"
1604,2022,2022_1318,universität workshops tu braunschweig
1605,2022,2022_1319,local center/university training
1606,2022,2022_1319,cyberambassadors
1608,2022,2022_1320,carpentries
1609,2022,2022_1320,courses run by institution
